Dia;Dia_mes;Mes;Dia_sem;Lluvia;Lluvia_SN;Fecha;T_MAX_ALERTA;T_MAX;T_MIN;Viento_MAX;Viento_MED;SO2;CO;NO;NO2;PM2.5_UMBRAL;PM2.5;PM10_UMBRAL;PM10;O3;TOL;BEN;EBE;TCH;NMCH;SO2_MAX;CO_MAX;NO_MAX;NO2_MAX;PM2.5_MAX;PM10_MAX;O3_MAX;TOL_MAX;BEN_MAX;EBE_MAX;TCH_MAX;O3_Nivel;Dia_sem_num;Mes2
85;26;MAR;J;0;No;26/03/2015;V;14.9;2.5;42;17;5.6;0.31;1.595.833.333;3.491.666.667;No;5.6;No;1.354.545.455;4.630.769.231;2.1;0.725;0.35;1.456.666.667;0.31;10;0.6;45;54;7;26;61;4.7;1.9;0.6;1.7;V;2;MAR
86;27;MAR;V;0;No;27/03/2015;V;20.5;8.6;28;4;6.6;0.38;2.545.833.333;34.875;No;6.6;No;12;3.507.142.857;2.28;0.74;0.56;1.463.333.333;0.29;11;0.7;71;52;8;18;47;5;1.9;1.3;1.7;V;6;MAR
87;28;MAR;S;0;No;28/03/2015;V;25.3;8.7;36;14;7.5;0.4;39.25;4.404.166.667;No;12.6;No;1.836.363.636;3.242.857.143;3.25;0.9;1.016.666.667;1.593.333.333;0.366666667;11;0.7;97;57;15;25;49;6;2.2;2.3;1.86;V;5;MAR
88;29;MAR;D;0;No;29/03/2015;V;23;11.1;26;11;6.111.111.111;0.311111111;1.043.478.261;32;No;6.75;No;14.1;5.207.692.308;1.5;0.52;0.62;1.61;0.33;9;0.5;30;50;8;27;60;3.1;1.2;2;1.77;V;1;MAR
89;30;MAR;L;0;No;30/03/2015;V;27;13.2;28;14;6;0.35;20.875;48.5;No;9;No;1.927.272.727;4.964.285.714;2.3;0.666666667;0.833333333;1.556.666.667;0.256666667;9;0.6;51;70;13;28;67;4.9;1.9;2.1;1.92;V;3;MAR
90;31;MAR;M;0;No;31/03/2015;V;26.8;12.5;29;13;6.9;0.42;34.625;5.566.666.667;No;11.8;No;2.245.454.545;4.114.285.714;4.98;1.06;1.28;1.536.666.667;0.296666667;11;0.8;66;73;14;28;56;7.5;2.4;3.9;1.78;V;4;MAR
91;1;ABR;X;0;No;01/04/2015;V;22.5;10;32;15;5.3;0.27;7.75;28.25;No;6.5;No;1.283.333.333;6.035.714.286;1.8;0.35;0.516666667;1.423.333.333;0.266666667;8;0.5;35;55;8;16;80;3.6;0.9;1.7;1.59;A;7;ABR
92;2;ABR;J;0;No;02/04/2015;V;24;7.9;30;15;4.7;0.27;6.041.666.667;25.75;No;5;No;12.5;6.557.142.857;1.116.666.667;0.316666667;0.233333333;1.433.333.333;0.293333333;8;0.5;22;45;7;22;80;1.9;0.7;0.5;1.63;A;2;ABR
93;3;ABR;V;0;No;03/04/2015;V;24.2;12.5;28;15;4.7;0.25;7.208.333.333;2.320.833.333;No;3.666.666.667;No;9;5.142.857.143;1.016.666.667;0.266666667;0.216666667;1.42;0.283333333;8;0.5;35;47;4;14;63;1.9;0.6;0.4;1.63;V;6;ABR
94;4;ABR;S;0;No;04/04/2015;V;22.4;9.8;39;22;4.6;0.23;3.416.666.667;1.791.666.667;No;4.166.666.667;No;11.75;67;0.866666667;0.216666667;0.25;1.393.333.333;0.276666667;8;0.5;18;40;5;19;83;1.7;0.5;0.8;1.55;A;5;ABR
95;5;ABR;D;0;No;05/04/2015;V;24;9.1;36;16;4.5;0.25;4.958.333.333;22.375;No;4;No;9.75;6.971.428.571;1.016.666.667;0.3;0.25;1.426.666.667;0.31;8;0.5;18;38;4;18;85;2.4;0.9;0.7;1.63;A;1;ABR
96;6;ABR;L;0;No;06/04/2015;V;21.2;9.8;31;15;4.9;0.26;6.875;24.75;No;7.166.666.667;No;16.75;6.407.142.857;1.316.666.667;0.4;0.216666667;1.446.666.667;0.32;8;0.5;20;43;8;28;82;3.2;1.3;0.4;1.63;A;3;ABR
97;7;ABR;M;0;No;07/04/2015;V;18.5;9;75;20;4.8;0.29;7.583.333.333;2.379.166.667;No;8.333.333.333;No;1.716.666.667;7.414.285.714;1.383.333.333;0.433333333;0.266666667;1.466.666.667;0.33;8;0.5;29;41;11;21;90;3.2;1.3;0.6;1.65;A;4;ABR
98;8;ABR;X;0;No;08/04/2015;V;18.4;7;39;17;6;0.3;5.166.666.667;2.341.666.667;No;7.166.666.667;No;16.5;8.828.571.429;1.183.333.333;0.433333333;0.283333333;1.44;0.306666667;19;0.5;17;42;8;22;104;3.6;1.3;0.8;1.62;R;7;ABR
99;9;ABR;J;5.8;Si;09/04/2015;V;11.9;6;30;14;6.9;0.32;7.208.333.333;3.491.666.667;No;8.166.666.667;No;13.75;6.257.142.857;1.666.666.667;0.566666667;0.266666667;1.466.666.667;0.303333333;22;0.6;28;60;9;18;87;4.3;1.5;0.5;1.63;A;2;ABR
100;10;ABR;V;0;No;10/04/2015;V;16.9;8.4;16;8;6.7;0.34;9.375;4.141.666.667;No;1.566.666.667;No;23;5.635.714.286;2.133.333.333;0.683333333;0.4;1.466.666.667;0.336666667;20;0.6;23;67;17;26;76;5.5;2.1;0.8;1.66;A;6;ABR
101;11;ABR;S;0;No;11/04/2015;V;22.2;10;46;17;6.5;0.31;8;2.908.333.333;No;1.166.666.667;No;2.083.333.333;5.942.857.143;1.566.666.667;0.483333333;0.283333333;1.473.333.333;0.363333333;18;0.6;33;49;14;26;78;3.8;1.3;0.5;1.7;A;5;ABR
102;12;ABR;D;0;No;12/04/2015;V;21.5;11.1;36;17;5.7;0.27;3.25;21.75;No;1.333.333.333;No;29;7.207.142.857;0.95;0.35;0.25;1.44;0.35;13;0.5;12;45;16;33;84;2.8;0.9;0.6;1.64;A;1;ABR
103;13;ABR;L;0;No;13/04/2015;V;23.4;12.9;53;25;5.1;0.3;6.25;2.845.833.333;No;1.533.333.333;No;42.25;7.164.285.714;1.433.333.333;0.433333333;0.266666667;1.466.666.667;0.33;8;0.6;23;53;17;49;84;3.6;1.1;0.4;1.64;A;3;ABR
104;14;ABR;M;0.1;Si;14/04/2015;V;24.8;12;53;24;4.9;0.29;8.708.333.333;3.133.333.333;No;1.566.666.667;No;42.75;7.064.285.714;1.75;0.4;0.266666667;1.453.333.333;0.333333333;8;0.6;31;60;17;48;86;3.5;1.1;0.5;1.66;A;4;ABR
105;15;ABR;X;17.8;Si;15/04/2015;V;18.9;11.9;33;17;6.5;0.31;10.625;3.583.333.333;No;1.283.333.333;No;29;7.014.285.714;2.1;0.5;0.416666667;1.426.666.667;0.26;18;0.6;27;57;15;36;90;5;1.6;1;1.59;A;7;ABR
106;16;ABR;J;0.2;Si;16/04/2015;V;16.9;10.6;32;15;4.7;0.27;8.291.666.667;2.754.166.667;No;8.166.666.667;No;12.75;57;1.633.333.333;0.5;0.283333333;1.453.333.333;0.236666667;8;0.6;29;47;12;18;75;4.1;1.5;0.6;1.69;A;2;ABR
107;17;ABR;V;0;No;17/04/2015;V;20.1;11.5;26;12;4.7;0.31;10.25;3.129.166.667;No;11.5;No;1.858.333.333;6.142.857.143;2;0.55;0.35;1.456.666.667;0.346666667;8;0.7;37;51;14;24;80;4.6;1.6;0.8;1.71;A;6;ABR
108;18;ABR;S;0;No;18/04/2015;V;19.1;10;47;21;4.7;0.3;1.216.666.667;32.5;No;1.066.666.667;No;2.083.333.333;5.542.857.143;1.866.666.667;0.483333333;0.283333333;1.603.333.333;0.47;8;0.6;40;50;14;26;66;4.1;1.4;0.5;1.86;V;5;ABR
109;19;ABR;D;0;No;19/04/2015;V;18.8;7.4;50;13;4.5;0.26;4.833.333.333;2.054.166.667;No;4;No;7.75;7.457.142.857;0.9;0.366666667;0.166666667;1.446.666.667;0.446666667;7;0.5;14;39;5;13;89;2.3;1;0.3;1.69;A;1;ABR
110;20;ABR;L;0;No;20/04/2015;V;21.6;8.8;22;12;5.444.444.444;0.322222222;1.143.478.261;3.856.521.739;No;6.333.333.333;No;12.25;5.923.076.923;1.783.333.333;0.466666667;0.283333333;1.486.666.667;0.47;9;0.6;37;61;8;16;76;3.3;1.2;0.6;1.72;A;3;ABR
111;21;ABR;M;0;No;21/04/2015;V;22.4;12.1;37;18;5;0.3;7.086.956.522;2.995.652.174;No;6.333.333.333;No;1.583.333.333;7.615.384.615;1.966.666.667;0.45;0.283333333;1.463.333.333;0.456666667;8;0.6;23;53;8;24;85;3.8;1.3;0.6;1.68;A;4;ABR
112;22;ABR;X;0;No;22/04/2015;V;21.8;12.1;36;16;5.222.222.222;0.288888889;7.043.478.261;2.782.608.696;No;8.333.333.333;No;1.841.666.667;8.015.384.615;1.533.333.333;0.45;0.25;1.466.666.667;0.486666667;10;0.6;19;49;11;28;88;3.6;1.4;0.5;1.72;A;7;ABR
113;23;ABR;J;0;No;23/04/2015;V;24;10.8;30;12;5.222.222.222;0.344444444;1.630.434.783;4.365.217.391;No;12;No;23.5;5.915.384.615;2.866.666.667;0.65;0.4;1.533.333.333;0.583333333;8;0.7;39;67;14;31;72;5.6;2;0.8;1.81;V;2;ABR
114;24;ABR;V;0;No;24/04/2015;V;22.9;12.5;30;14;6;0.366666667;2.152.173.913;4.969.565.217;No;13;No;2.933.333.333;5.061.538.462;3.516.666.667;0.766666667;0.55;1.596.666.667;0.563333333;9;0.7;46;73;14;37;68;6.2;2.2;1.1;1.88;V;6;ABR
115;25;ABR;S;0.1;Si;25/04/2015;V;18.9;11.5;39;17;4.666.666.667;0.244444444;4.043.478.261;1.630.434.783;No;5.5;No;1.333.333.333;7.192.307.692;0.866666667;0.3;0.15;1.433.333.333;0.52;8;0.5;16;36;7;23;85;2;0.7;0.3;1.7;A;5;ABR
116;26;ABR;D;21.6;Si;26/04/2015;V;15.3;9.3;63;22;4.666.666.667;0.266666667;3.869.565.217;2.056.521.739;No;4.166.666.667;No;7.416.666.667;5.976.923.077;0.883333333;0.333333333;0.15;1.473.333.333;0.566666667;8;0.5;11;34;6;14;77;2.2;0.9;0.3;1.79;A;1;ABR
117;27;ABR;L;0;No;27/04/2015;V;16.7;8.2;33;15;4.777.777.778;0.3;8.130.434.783;2.369.565.217;No;4.333.333.333;No;8.75;6.553.846.154;1.416.666.667;0.45;0.233333333;1.453.333.333;0.583333333;8;0.6;33;50;7;15;83;3.6;1.4;0.4;1.71;A;3;ABR
118;28;ABR;M;0;No;28/04/2015;V;19.6;8.7;29;12;5.8;0.32;1.204.166.667;35.625;No;5.666.666.667;No;1.158.333.333;5.185.714.286;2.783.333.333;0.533333333;0.366666667;1.496.666.667;0.62;13;0.7;34;52;7;20;65;6.5;1.5;0.7;1.77;V;4;ABR
119;29;ABR;X;0;No;29/04/2015;V;21.1;10.8;32;13;5;0.29;9.166.666.667;2.779.166.667;No;7.5;No;1.433.333.333;6.442.857.143;2;0.483333333;0.283333333;1.46;0.26;9;0.6;37;48;10;20;75;4.9;1.4;0.5;1.7;A;7;ABR
120;30;ABR;J;0;No;30/04/2015;V;23.4;10.3;28;13;5.5;0.31;1.908.333.333;3.904.166.667;No;9.666.666.667;No;2.033.333.333;5.114.285.714;2.95;0.633333333;0.4;1.496.666.667;0.133333333;9;0.6;38;59;12;33;59;5.7;1.9;0.8;1.7;V;2;ABR
121;1;MAY;V;0;No;01/05/2015;V;23.9;13.2;26;13;4.7;0.22;4.083.333.333;1.883.333.333;No;7.333.333.333;No;16;5.535.714.286;1.216.666.667;0.266666667;0.166666667;1.48;0.056666667;8;0.4;17;35;9;26;66;2.4;0.6;0.4;1.81;V;6;MAY
122;2;MAY;S;0;No;02/05/2015;V;26.6;14.3;40;15;4.6;0.2;6.458.333.333;1.579.166.667;No;7.333.333.333;No;1.408.333.333;3.035.714.286;1.2;0.3;0.216666667;1.436.666.667;0.056666667;8;0.3;19;27;9;20;47;3.1;0.9;0.4;1.69;V;5;MAY
123;3;MAY;D;0;No;03/05/2015;V;21.6;17.1;34;15;4.7;0.23;5;2.156.521.739;No;8.8;No;2.054.545.455;5.078.571.429;1.166.666.667;0.266666667;0.183333333;1.45;0.07;8;0.4;19;41;11;30;69;2.6;0.6;0.5;1.74;V;1;MAY
124;4;MAY;L;0.1;Si;04/05/2015;V;26.9;16;52;27;5.2;0.28;1.483.333.333;3.095.833.333;No;11.5;No;2.816.666.667;47.5;2.25;0.466666667;0.383333333;1.466.666.667;0.083333333;9;0.4;34;45;13;36;61;4.9;1.5;0.7;1.6;V;3;MAY
125;5;MAY;M;0;No;05/05/2015;V;21.1;11.5;43;18;4.9;0.24;5.333.333.333;1.679.166.667;No;4.833.333.333;No;1.066.666.667;8.064.285.714;1.283.333.333;0.35;0.2;1.396.666.667;0.096666667;9;0.4;22;36;7;15;94;3;1;0.4;1.57;A;4;MAY
126;6;MAY;X;0;No;06/05/2015;V;23.4;9.8;25;12;5;0.29;11.25;35.125;No;7;No;16;6.542.857.143;3.28;0.6;0.4;1.466.666.667;0.133333333;8;0.4;27;54;9;21;78;5.2;1.5;0.7;1.67;A;7;MAY
127;7;MAY;J;0;No;07/05/2015;V;28.2;11.1;23;11;6;0.35;20.125;5.458.333.333;No;11;No;2.641.666.667;5.807.142.857;3.916.666.667;0.75;0.633333333;1.506.666.667;0.14;10;0.5;49;76;13;40;79;7.4;2.1;1.2;1.69;A;2;MAY
128;8;MAY;V;0;No;08/05/2015;V;24.7;12.9;24;12;5.1;0.27;6.958.333.333;24.5;No;8.166.666.667;No;2.258.333.333;7.092.857.143;1.966.666.667;0.45;0.3;1.433.333.333;0.096666667;9;0.5;29;49;10;37;83;3.8;1.2;0.6;1.63;A;6;MAY
129;9;MAY;S;0;No;09/05/2015;V;28.2;13;19;10;5.2;0.33;1.566.666.667;4.341.666.667;No;1.033.333.333;No;1.983.333.333;6.335.714.286;2.5;0.566666667;0.4;1.523.333.333;0.143333333;9;0.4;42;65;13;28;78;4.9;1.6;0.7;1.7;A;5;MAY
130;10;MAY;D;0;No;10/05/2015;V;31.5;16.4;28;12;5.3;0.32;1.333.333.333;39.75;No;13;No;2.558.333.333;71;2.533.333.333;0.633333333;0.4;1.52;0.153333333;10;0.5;39;71;16;35;88;5.3;1.6;1;1.66;A;1;MAY
131;11;MAY;L;0;No;11/05/2015;V;32.4;17.5;22;11;5.7;0.36;1.608.695.652;4.826.086.957;No;13.2;No;3.218.181.818;7.035.714.286;3.133.333.333;0.633333333;0.45;1.536.666.667;0.163333333;10;0.5;50;78;18;43;86;6.3;1.8;0.8;1.69;A;3;MAY
132;12;MAY;M;0;No;12/05/2015;V;33.6;17.5;24;11;5.7;0.35;1.343.478.261;5.339.130.435;No;15;No;3.645.454.545;7.414.285.714;3.95;0.733333333;0.616666667;1.576.666.667;0.17;10;0.5;42;78;16;45;93;6.3;2;1;1.74;A;4;MAY
133;13;MAY;X;0;No;13/05/2015;V;35.8;19.9;34;17;5.9;0.4;2.495.833.333;6.470.833.333;No;23.6;Si;5.818.181.818;4.485.714.286;5.1;0.933333333;0.783333333;1.58;0.196666667;11;0.6;53;97;27;71;71;8;2.6;1.3;1.73;V;7;MAY
134;14;MAY;J;0;No;14/05/2015;V;32.9;18.5;45;20;5.1;0.29;11.625;3.920.833.333;No;17;No;47.25;7.092.857.143;2.933.333.333;0.533333333;0.4;1.546.666.667;0.17;9;0.5;41;66;20;53;89;5.3;1.6;0.7;1.85;A;2;MAY
135;15;MAY;V;0;No;15/05/2015;V;23.2;11.9;48;24;5;0.22;2.541.666.667;1.258.333.333;No;4.833.333.333;No;2.083.333.333;8.564.285.714;0.816666667;0.316666667;0.133333333;1.41;0.136666667;9;0.3;9;29;6;36;95;1.4;0.7;0.3;1.54;A;6;MAY
136;16;MAY;S;0;No;16/05/2015;V;28;10.7;44;17;4.9;0.22;2.958.333.333;14.25;No;3.5;No;12.75;7.964.285.714;0.666666667;0.2;0.116666667;1.413.333.333;0.143333333;8;0.3;12;36;5;43;91;1.1;0.5;0.2;1.54;A;5;MAY
137;17;MAY;D;0;No;17/05/2015;V;30.3;13.8;36;15;5.1;0.23;6.583.333.333;21.5;No;5.333.333.333;No;1.466.666.667;7.685.714.286;0.95;0.3;0.166666667;1.41;0.153333333;9;0.3;32;45;7;27;90;1.6;0.5;0.3;1.54;A;1;MAY
138;18;MAY;L;0;No;18/05/2015;V;31.9;16.6;28;14;5.4;0.26;8.708.333.333;3.254.166.667;No;9;No;1.983.333.333;7.721.428.571;2.083.333.333;0.45;0.266666667;1.46;0.173333333;10;0.4;20;57;12;28;93;4.1;1.2;0.5;1.63;A;3;MAY
139;19;MAY;M;0;No;19/05/2015;V;23.5;12.4;49;24;5.2;0.23;5.391.304.348;2.334.782.609;No;6.2;No;2.190.909.091;6.364.285.714;1.833.333.333;0.283333333;0.283333333;1.433.333.333;0.16;9;0.4;17;42;7;29;74;3.7;0.9;0.5;1.59;V;4;MAY
140;20;MAY;X;0;No;20/05/2015;V;21.8;7.6;44;18;5.1;0.24;5.041.666.667;1.833.333.333;No;4.666.666.667;No;1.191.666.667;7.914.285.714;2.06;0.34;0.26;1.43;0.17;9;0.4;19;39;6;20;90;4.2;0.7;0.4;1.55;A;7;MAY
141;21;MAY;J;0;No;21/05/2015;V;22.5;8.5;44;21;5.2;0.22;4.583.333.333;1.691.666.667;No;4.333.333.333;No;1.116.666.667;8.357.142.857;1.25;0.266666667;0.166666667;1.42;0.156666667;9;0.3;18;38;6;15;93;2.4;0.7;0.3;1.55;A;2;MAY
142;22;MAY;V;0;No;22/05/2015;V;22.7;7.8;45;20;5.1;0.23;4.375;1.729.166.667;No;5;No;1.266.666.667;8.357.142.857;0.966666667;0.2;0.15;1.426.666.667;0.173333333;9;0.4;18;42;7;17;93;1.9;0.4;0.3;1.56;A;6;MAY
143;23;MAY;S;0;No;23/05/2015;V;24;9.7;49;22;5.1;0.21;2.708.333.333;1.133.333.333;No;6.166.666.667;No;1.433.333.333;8.564.285.714;0.65;0.2;0.133333333;1.413.333.333;0.166666667;9;0.3;10;30;8;19;93;1.3;0.4;0.2;1.55;A;5;MAY
144;24;MAY;D;0;No;24/05/2015;V;24.7;11.4;46;21;5.1;0.19;2.333.333.333;1.079.166.667;No;5.333.333.333;No;1.233.333.333;79.5;0.483333333;0.166666667;0.1;1.403.333.333;0.16;9;0.3;9;28;6;17;90;0.9;0.3;0.1;1.54;A;1;MAY
145;25;MAY;L;0;No;25/05/2015;V;26;13.7;34;15;5.1;0.23;5.666.666.667;2.045.833.333;No;6.666.666.667;No;13.5;7.414.285.714;1.466.666.667;0.283333333;0.166666667;1.42;0.163333333;9;0.3;17;43;7;16;86;3.6;0.8;0.3;1.55;A;3;MAY
146;26;MAY;M;0;No;26/05/2015;V;28.1;12.6;35;16;5.2;0.22;5.791.666.667;2.004.166.667;No;6.166.666.667;No;1.266.666.667;7.157.142.857;1.58;0.34;0.24;1.41;0.176666667;9;0.3;20;41;7;15;82;2.5;0.8;0.4;1.54;A;4;MAY
147;27;MAY;X;0;No;27/05/2015;V;29.5;13.4;42;22;5.1;0.24;5.083.333.333;2.370.833.333;No;5.833.333.333;No;1.266.666.667;7.485.714.286;1.5;0.283333333;0.2;1.426.666.667;0.193333333;9;0.4;21;49;7;17;89;2.4;0.6;0.4;1.56;A;7;MAY
148;28;MAY;J;0;No;28/05/2015;V;31.5;16.5;32;14;5.4;0.28;9.041.666.667;3.891.666.667;No;11.5;No;2.416.666.667;8.221.428.571;2.783.333.333;0.5;0.433333333;1.473.333.333;0.213333333;11;0.4;31;63;14;31;98;4.4;1.5;0.8;1.64;A;2;MAY
149;29;MAY;V;0;No;29/05/2015;V;30.4;17.8;42;19;5.6;0.29;8.375;3.883.333.333;No;10.5;No;2.766.666.667;7.507.142.857;3.983.333.333;0.5;0.433333333;1.483.333.333;0.206666667;12;0.5;23;67;13;38;93;5.9;1.5;0.6;1.63;A;6;MAY
150;30;MAY;S;0;No;30/05/2015;V;30;15.2;31;15;5.4;0.25;5.833.333.333;3.133.333.333;No;1.083.333.333;No;17.5;7.664.285.714;2.35;0.416666667;0.283333333;1.466.666.667;0.183333333;11;0.4;20;53;13;24;94;5.1;1.4;0.5;1.62;A;5;MAY
151;31;MAY;D;0;No;31/05/2015;V;31.1;16.4;30;13;5.3;0.23;3.791.666.667;23.125;No;9;No;16.75;8.028.571.429;1.316.666.667;0.316666667;0.2;1.436.666.667;0.19;11;0.3;13;46;12;23;93;2.6;0.8;0.3;1.6;A;1;MAY
152;1;JUN;L;0;No;01/06/2015;V;31.8;17.6;32;13;5.4;0.28;7.958.333.333;3.283.333.333;No;11;No;2.466.666.667;7.257.142.857;2.783.333.333;0.433333333;0.416666667;1.463.333.333;0.2;11;0.4;21;54;14;36;87;5.3;1.2;1.1;1.63;A;3;JUN
153;2;JUN;M;0;No;02/06/2015;V;32.9;18.5;27;11;5.4;0.27;8.458.333.333;3.558.333.333;No;12;No;25.75;7.435.714.286;2.983.333.333;0.483333333;0.35;1.45;0.19;11;0.4;26;59;14;31;89;5.3;1.4;0.6;1.58;A;4;JUN
154;3;JUN;X;0;No;03/06/2015;V;34;20.1;33;17;5.7;0.26;6.291.666.667;3.270.833.333;No;1.266.666.667;No;2.966.666.667;84.5;3;0.45;0.4;1.476.666.667;0.19;11;0.4;18;59;15;37;98;4.9;1.4;0.9;1.59;A;7;JUN
155;4;JUN;J;0;No;04/06/2015;V;32.3;19.2;29;14;5.3;0.2;2.416.666.667;1.754.166.667;No;7.833.333.333;No;17;9.385.714.286;1.983.333.333;0.25;0.2;1.486.666.667;0.23;11;0.3;8;36;9;25;103;3.8;0.7;0.4;1.62;R;2;JUN
156;5;JUN;V;0;No;05/06/2015;V;32.5;18.4;29;12;6.1;0.25;5.375;29.25;No;10.5;No;2.416.666.667;8.771.428.571;1.916.666.667;0.366666667;0.2;1.473.333.333;0.21;12;0.4;21;57;12;31;100;4;1.2;0.4;1.6;R;6;JUN
157;6;JUN;S;0;No;06/06/2015;V;34.1;19.5;31;14;5.6;0.23;3.875;24.5;No;11.5;No;2.683.333.333;9.592.857.143;1.65;0.35;0.183333333;1.466.666.667;0.206666667;11;0.3;23;58;14;34;107;3;0.9;0.3;1.6;R;5;JUN
158;7;JUN;D;0;No;07/06/2015;V;34.1;21.2;34;18;5.3;0.21;2.458.333.333;1.891.666.667;No;9.5;No;2.108.333.333;1.033.571.429;0.916666667;0.216666667;0.133333333;1.436.666.667;0.203333333;11;0.3;8;43;11;27;119;1.7;0.5;0.2;1.58;R;1;JUN
159;8;JUN;L;0;No;08/06/2015;V;33.3;19.7;25;10;5.4;0.25;5.833.333.333;32.875;No;9.833.333.333;No;2.216.666.667;9.964.285.714;2.05;0.433333333;0.233333333;1.453.333.333;0.196666667;11;0.4;20;65;13;34;114;4.4;1.3;0.5;1.59;R;3;JUN
160;9;JUN;M;0.2;Si;09/06/2015;V;32.6;19;45;20;5.3;0.23;4.583.333.333;27.875;No;11.5;No;3.308.333.333;9.714.285.714;2;0.333333333;0.2;1.443.333.333;0.196666667;11;0.4;13;53;14;49;119;3.4;1;0.4;1.57;R;4;JUN
161;10;JUN;X;3.1;Si;10/06/2015;V;27.7;16.9;35;16;5.3;0.27;6.5;3.491.666.667;No;1.466.666.667;No;2.416.666.667;6.514.285.714;2.516.666.667;0.516666667;0.333333333;1.52;0.186666667;11;0.4;22;60;19;32;75;5.2;1.8;0.8;1.64;A;7;JUN
162;11;JUN;J;25.8;Si;11/06/2015;V;22.6;15.1;39;16;5.3;0.25;8.666.666.667;3.295.833.333;No;12.6;No;2.227.272.727;5.478.571.429;2.26;0.52;0.3;1.453.333.333;0.19;11;0.4;26;55;16;30;74;5.1;1.6;0.8;1.57;V;2;JUN
163;12;JUN;V;0;No;12/06/2015;V;23;14.5;42;18;5.1;0.2;6.791.666.667;2.470.833.333;No;9.4;No;1.790.909.091;6.121.428.571;1.84;0.36;0.18;1.49;0.206666667;11;0.4;30;57;11;23;71;3.6;0.9;0.4;1.74;V;6;JUN
164;13;JUN;S;0;No;13/06/2015;V;22.3;15.5;41;20;4.9;0.222222222;4.458.333.333;25.375;No;8.6;No;1.781.818.182;7.235.714.286;1.38;0.32;0.18;1.55;0.24;11;0.4;18;56;10;23;83;3;0.8;0.4;1.82;A;5;JUN
165;14;JUN;D;0;No;14/06/2015;V;22.4;12.8;42;19;4.7;0.18;2.708.333.333;1.241.666.667;No;4.8;No;1.127.272.727;8.264.285.714;0.54;0.16;0.1;1.4;0.19;11;0.3;12;46;7;18;87;1.2;0.3;0.1;1.53;A;1;JUN
166;15;JUN;L;4.5;Si;15/06/2015;V;20.6;11.6;30;17;5.1;0.21;5.333.333.333;2.491.666.667;No;4.6;No;1.072.727.273;7.757.142.857;1.36;0.38;0.16;1.45;0.196666667;11;0.3;17;41;5;18;87;3.8;1.2;0.4;1.63;A;3;JUN
167;16;JUN;M;0.1;Si;16/06/2015;V;25.5;12.8;24;12;5.1;0.25;7.208.333.333;27;No;6.4;No;1.081.818.182;6.492.857.143;1.75;0.4;0.25;1.433.333.333;0.19;11;0.4;19;48;8;14;75;3.6;1.1;0.5;1.56;A;4;JUN
168;17;JUN;X;0;No;17/06/2015;V;27.1;14.8;36;19;5.1;0.22;4.875;2.191.666.667;No;7.2;No;14;7.142.857.143;1.883.333.333;0.266666667;0.16;1.55;0.306666667;11;0.3;18;47;8;18;80;3.7;0.5;0.3;1.88;A;7;JUN
169;18;JUN;J;0;No;18/06/2015;V;30.2;14.8;41;19;5.2;0.27;7.041.666.667;2.816.666.667;No;9.8;No;1.709.090.909;8.871.428.571;1.833.333.333;0.383333333;0.3;1.466.666.667;0.246666667;11;0.4;31;59;12;22;104;3.1;0.9;0.6;1.62;R;2;JUN
170;19;JUN;V;0;No;19/06/2015;V;32.7;18.2;42;17;5.1;0.23;5.375;2.533.333.333;No;9.8;No;1.581.818.182;7.592.857.143;1.883.333.333;0.3;0.233333333;1.423.333.333;0.22;11;0.4;19;50;12;19;85;3;0.7;0.4;1.54;A;6;JUN
171;20;JUN;S;0;No;20/06/2015;V;33.8;17.6;37;17;5.1;0.25;6.541.666.667;25.125;No;6.8;No;1.181.818.182;86.5;1.366.666.667;0.3;0.2;1.43;0.243333333;11;0.4;32;54;8;15;96;2.3;0.6;0.3;1.54;A;5;JUN
172;21;JUN;D;0;No;21/06/2015;V;35.3;20.4;30;13;5;0.24;3.625;2.620.833.333;No;11.6;No;2.009.090.909;9.114.285.714;1.3;0.333333333;0.183333333;1.45;0.223333333;11;0.4;15;51;13;24;102;2.8;0.9;0.3;1.59;R;1;JUN
173;22;JUN;L;0.1;Si;22/06/2015;V;34.4;22.5;35;17;5.4;0.28;1.058.333.333;3.979.166.667;No;16.4;No;3.027.272.727;8.578.571.429;2.866.666.667;0.583333333;0.366666667;1.48;0.226666667;13;0.5;22;76;19;36;105;6.2;2;0.9;1.62;R;3;JUN
174;23;JUN;M;11.1;Si;23/06/2015;V;32;18.6;40;20;5.2;0.24;6.458.333.333;3.233.333.333;No;13.4;No;2.472.727.273;8.071.428.571;2.32;0.52;0.32;1.56;0.29;12;0.4;15;56;15;30;95;4.6;1.3;0.6;1.58;A;4;JUN
175;24;JUN;X;0;No;24/06/2015;V;30.6;17.7;26;12;5.1;0.255555556;5.625;2.916.666.667;No;9.2;No;1.636.363.636;8.792.857.143;2.216.666.667;0.416666667;0.45;1.436.666.667;0.223333333;12;0.4;15;47;11;19;96;4.6;1.1;1.2;1.56;A;7;JUN
176;25;JUN;J;0;No;25/06/2015;V;33.1;19.5;23;10;5;0.27;7.083.333.333;3.683.333.333;No;12.4;No;2.236.363.636;8.571.428.571;2.55;0.533333333;0.383333333;1.463.333.333;0.243333333;12;0.4;27;62;14;28;96;6.1;1.7;1;1.61;A;2;JUN
