Dia;Dia_mes;Mes;Dia_sem;Lluvia;Lluvia_SN;Fecha;T_MAX_ALERTA;T_MAX;T_MIN;Viento_MAX;Viento_MED;SO2;CO;NO;NO2;PM2.5_UMBRAL;PM2.5;PM10_UMBRAL;PM10;O3;TOL;BEN;EBE;TCH;NMCH;SO2_MAX;CO_MAX;NO_MAX;NO2_MAX;PM2.5_MAX;PM10_MAX;O3_MAX;TOL_MAX;BEN_MAX;EBE_MAX;TCH_MAX;O3_Nivel;Dia_sem_num;Mes2
21;21;ENE;X;0.2;Si;21/01/2015;V;5.7;1;40;18;5.9;0.4;28.375;5.241.666.667;No;7.8;No;1.083.333.333;2.864.285.714;4.183.333.333;1.033.333.333;0.633333333;1.656.666.667;0.563333333;9;0.6;76;72;11;18;44;11.6;2.3;1.3;2.09;V;7;ENE
22;22;ENE;J;0.1;Si;22/01/2015;V;8.4;2.4;43;16;6.3;0.4;29;4.495.833.333;No;6.166.666.667;No;10.75;4.607.142.857;4.033.333.333;0.933333333;0.733333333;1.63;0.556666667;10;0.7;89;73;8;18;64;12.2;2.3;1.5;2.03;V;2;ENE
23;23;ENE;V;0;No;23/01/2015;V;10;-0.1;31;17;9.4;0.64;6.833.333.333;65.25;No;1.083.333.333;No;1.558.333.333;2.764.285.714;5.233.333.333;1.216.666.667;0.866666667;1.683.333.333;0.54;16;0.9;153;104;15;24;66;13.9;2.8;2.1;1.84;V;6;ENE
24;24;ENE;S;0;No;24/01/2015;V;10.9;-1.1;50;23;8.8;0.52;4.041.666.667;6.120.833.333;No;1.083.333.333;No;15.25;2.664.285.714;3.92;1;0.5;1.633.333.333;0.523333333;14;0.8;101;93;15;23;60;11.1;2.3;1.3;1.81;V;5;ENE
25;25;ENE;D;0;No;25/01/2015;V;13;2.2;39;16;8.4;0.42;1.729.166.667;44.625;No;6.166.666.667;No;9.416.666.667;4.457.142.857;2.88;0.66;0.36;1.55;0.48;19;0.7;62;83;9;13;87;9.5;1.5;1;1.68;A;1;ENE
26;26;ENE;L;0;No;26/01/2015;V;13.2;0.9;18;9;11.5;0.68;7.920.833.333;86;No;14.4;No;23;1.478.571.429;5.62;1.26;0.94;1.953.333.333;0.586666667;17;1.1;211;138;15;37;37;11.3;2.6;1.3;2.23;V;3;ENE
27;27;ENE;M;0;No;27/01/2015;V;13.6;2.4;38;17;9.9;0.54;53.625;6.216.666.667;No;9.6;No;1.581.818.182;2.471.428.571;4.583.333.333;0.933333333;0.666666667;1.626.666.667;0.5;15;0.9;164;107;13;27;54;11.5;2;1.3;1.79;V;4;ENE
28;28;ENE;X;0;No;28/01/2015;V;12.8;1.5;23;8;10.3;0.65;8.679.166.667;8.054.166.667;No;16.4;No;2.327.272.727;1.342.857.143;6.033.333.333;1.333.333.333;1.1;1.8;0.576666667;14;0.9;175;101;19;31;22;14.7;3.2;2.2;2.11;V;7;ENE
29;29;ENE;J;0.1;Si;29/01/2015;V;12.5;4.1;45;19;7.2;0.43;3.660.869.565;4.908.695.652;No;10.4;No;1.745.454.545;3.007.142.857;4.4;0.916666667;0.783333333;1.65;0.52;12;0.8;67;72;12;23;49;12.6;2.2;1.6;2.01;V;2;ENE
30;30;ENE;V;2;Si;30/01/2015;V;15.5;9.7;51;22;5.2;0.26;7.833.333.333;2.229.166.667;No;4.4;No;7.909.090.909;45;2.316.666.667;0.4;0.416666667;1.443.333.333;0.393333333;8;0.6;28;43;6;13;73;8.4;1.1;1.2;1.63;V;6;ENE
